first_author,country,year,household,definition_contact_me,canonical_level,include,notes
Baron,Sudan (now South Sudan),1979,1,not direct contact,No/minimal contact,1,Clean mapping to reference class
Baron,Sudan (now South Sudan),1979,1,direct contact + nursing care,Nursing care — no body fluids,1,Nursing care with direct contact; no body fluid exposure mentioned
Baron,Sudan (now South Sudan),1979,1,direct contact but NO nursing care,Direct physical contact — no fluids and no nursing,1,Clean mapping to Class 2
Henao-Restrepo,Guinea,2015-2016,2,High-risk contacts were defined as being in close physical contact with the patient's body or body fluids; linen; or clothes,Body fluid contact,1,Body fluid and linen contact maps to Class 4; linen contact treated as proxy for fluid exposure
Henao-Restrepo,Guinea,2015-2016,2,As below - but not high risk...,Indirect contact only;Direct physical contact — no fluids and no nursing,1,Vague low-risk definition — fractional across Classes 1 and 2; weights derived from disaggregated studies
Jezek,DRC,1981-1983,2,Provided care,Nursing care — no body fluids,1,Providing care assumed to involve direct contact; no body fluid exposure specified — maps to Class 3
Jezek,DRC,1981-1983,2,Did not provide care,Indirect contact only;Direct physical contact — no fluids and no nursing,1,No care provided but contact status unspecified — fractional across Classes 1 and 2; weights derived from disaggregated studies
Reichler,Sierra Leone,2014-2015,1,Household contact with NO direct physical contact,No/minimal contact,1,Explicitly no direct physical contact — clean mapping to reference
Reichler,Sierra Leone,2014-2015,1,Household contact who had direct physical contact with the index and NO nursing care,Direct physical contact — no fluids and no nursing,1,Direct contact confirmed; nursing absence and fluid absence both stated — clean mapping to Class 2
Reichler,Sierra Leone,2014-2015,1,Household contact who had direct physical contact with the index and provided nursing care (with no or some protection) but NO contact with body fluids,Nursing care — no body fluids,1,Nursing with direct contact confirmed; body fluid absence explicitly stated — clean mapping to Class 3
Reichler,Sierra Leone,2014-2015,1,Household contact who had direct physical contact with the index and provided nursing care (with no or some protection) andcontact with body fluids,Body fluid contact,1,Nursing plus body fluid contact confirmed — maps to Class 4 per assumption that fluid contact supersedes nursing class
Francesconi,Uganda,2000-2001,2,Contact as above + had direct physical contact,Direct physical contact — no fluids and no nursing,1,Direct physical contact confirmed; nursing and fluid status unspecified at this level — maps to Class 2 as base direct contact class
Francesconi,Uganda,2000-2001,2,Contact as above but did NOT have direct physical contact,No/minimal contact,1,No direct physical contact explicitly stated — clean mapping to reference
Francesconi,Uganda,2000-2001,2,Contact as above + had contact with body fluids,Body fluid contact,1,Body fluid contact confirmed — clean mapping to Class 4
Francesconi,Uganda,2000-2001,2,Contact as above but did NOT have contact with body fluids,Direct physical contact — no fluids and no nursing;Nursing care — no body fluids,1,Fluid absence confirmed but nursing status ambiguous — fractional across Classes 2 and 3; weights derived from disaggregated studies
Francesconi,Uganda,2000-2001,2,Contact as above + provided nursing care,Nursing care — no body fluids,1,Nursing care without documented fluid exposure — clean mapping to Class 3
Francesconi,Uganda,2000-2001,2,Contact as above but did NOT provide nursing care,Direct physical contact — no fluids and no nursing,1,No nursing; direct contact implied from paired row structure — maps to Class 2
Reaves,Liberia,2014,2,High-risk exposure identified as a percutaneous or mucous membrane exposure to; or direct skin contact with blood or body fluids of an Ebola patient or a corpse in Liberia without appropriate PPE,Body fluid contact;Handled corpse,1,Definition explicitly covers both fluid exposure and corpse handling — fractional across Classes 4 and 5; weights derived from disaggregated studies
Reaves,Liberia,2014,2,Low-risk exposure defined as a household contact that did not involve providing care to an Ebola patient or having close contact with an Ebola patient in healthcare facilities or in the community that was not otherwise characterised as a high-risk exposure,Direct physical contact — no fluids and no nursing,1,Household contact without care or fluid exposure — maps to Class 2; no nursing or fluid involvement stated
Dowell,DRC,1995,1,Had direct physical contact,Direct physical contact — no fluids and no nursing,1,Direct physical contact confirmed; nursing and fluid status unspecified — maps to Class 2 as base direct contact class
Dowell,DRC,1995,1,Did NOT have direct physical contact,No/minimal contact,1,Explicitly no direct physical contact — clean mapping to reference
Gayedyu-Dennis,Liberia,2015-2017,1,Contact with body fluids of index,Body fluid contact,1,Body fluid contact explicitly stated — clean mapping to Class 4
Gayedyu-Dennis,Liberia,2015-2017,1,Slept or ate in the same room; contact with clothing; direct physical contact,Direct physical contact — no fluids and no nursing,1,Direct physical contact component elevates this above Class 1 to Class 2; no fluids or nursing stated
Gayedyu-Dennis,Liberia,2015-2017,1,No physical contact,No/minimal contact,1,Explicitly no physical contact — clean mapping to reference
International Commission,DRC (Zaire at the time),1976,1,High-risk,Nursing care — no body fluids;Body fluid contact,1,High-risk without further detail — fractional across Classes 3 and 4; no corpse handling context for DRC 1976; weights derived from disaggregated studies
International Commission,DRC (Zaire at the time),1976,1,Not high-risk,Indirect contact only;Direct physical contact — no fluids and no nursing,1,Low-risk without further detail — fractional across Classes 1 and 2; weights derived from disaggregated studies
International Commission,Sudan (now South Sudan),1976,1,Touched the patient,Direct physical contact — no fluids and no nursing,1,Physical touch without nursing or fluid exposure stated — clean mapping to Class 2
International Commission,Sudan (now South Sudan),1976,1,Nursed the patient,Nursing care — no body fluids,1,Nursing assumed to involve direct contact per Class 3 assumption; no fluid exposure stated — clean mapping to Class 3
Bower,Sierra Leone,2015,1,Handled corpse,Handled corpse,1,Clean mapping to Class 5
Bower,Sierra Leone,2015,1,Handled fluids,Body fluid contact,1,Clean mapping to Class 4
Bower,Sierra Leone,2015,1,Direct wet contact,Body fluid contact,1,Wet contact implies fluid exposure consistent with Bower's own definitions — maps to Class 4
Bower,Sierra Leone,2015,1,Direct dry contact,Direct physical contact — no fluids and no nursing,1,Dry direct contact without fluids or nursing — clean mapping to Class 2
Bower,Sierra Leone,2015,1,Indirect wet contact,Indirect contact only,1,Indirect contact without direct physical contact — maps to Class 1
Bower,Sierra Leone,2015,1,Indirect dry contact,Indirect contact only,1,Indirect contact without direct physical contact — maps to Class 1
Bower,Sierra Leone,2015,1,Minimal/no contact,No/minimal contact,1,Clean mapping to reference
